Text	Label	Unique_ID
When your phone dies right before an important call 😭	25	uid001
Finally nailed the perfect selfie! 📸	21	uid002
Why is traffic always terrible when you're late? 🚗💨	3	uid003
Just got a surprise gift from a friend 🎁	15	uid004
When your pet refuses to listen no matter what you do 🐶	1	uid005
That feeling when your favorite song comes on 🎶	17	uid006
Totally forgot my keys at home again 🔑🙈	9,24	uid007
When you binge-watch an entire series in one weekend 📺	13,20	uid008
Celebrating small wins every day 🥳	17,21	uid009
Why does Monday feel like the longest day? 😩	25	uid010
Just spilled coffee on my new shirt ☕️😫	25	uid011
That awkward moment when you wave at someone who wasn’t waving at you 🙃	3,12	uid012
When your favorite team wins in the last minute ⚽️🏆	17,26	uid013
Feeling so inspired after that motivational talk 🌟	13	uid014
Why do I always lose one sock in the laundry? 🧦	7,6	uid015
When you realize the assignment was due yesterday 😱	14,26,19	uid016
Nothing beats hanging out with old friends 👯	17	uid017
Feeling hopeful about the future 🌈	20	uid018
That sinking feeling when you send a message and see 'Seen' but no reply 😔	25,19	uid019
Laughing so hard I cried 😂	1	uid020
When your pet sits on your laptop and refuses to move 🐱💻	1	uid021
Grateful for the unexpected kindness today ❤️	15	uid022
Just nailed the presentation at work 📊💼	21,23	uid023
Why is adulting so complicated? 🤷‍♂️	7	uid024
When you find money in your old jacket pocket 💵	20,21	uid025
Totally lost track of time playing video games 🎮	27	uid026
Excited for the weekend getaway 🏖️	13	uid027
When your sibling eats your favorite snack 😡	3,25	uid028
Appreciating the little things in life 🌸	15	uid029
That feeling when you finish a tough workout 💪	21	uid030
When the internet suddenly stops working 😤	3	uid031
Feeling so relaxed after a long bath 🛁	27	uid032
That moment you realize you left the stove on 🔥😱	14,26,19	uid033
When your favorite meme goes viral 🤣	1	uid034
Feeling proud of overcoming challenges 🏆	21	uid035
Just got promoted at work 🎉	21	uid036
When you can't stop laughing at a private joke 😂	1	uid037
That moment you realize it’s Friday! 🎉	13	uid038
When you try cooking and it turns out amazing 🍳	17	uid039
Feeling anxious about the upcoming exam 📚😰	19	uid040
When you get a shoutout on social media 🙌	20	uid041
That feeling when you finish reading a good book 📖	17	uid042
Grateful for supportive friends ❤️	15	uid043
When your pet gives you the guilt stare 🐾	1,24	uid044
Excited about trying something new today 🌟	13	uid045
When your favorite restaurant has a special discount 🍔	20	uid046
Feeling overwhelmed but still pushing through 💼	27	uid047
That awkward silence during a video call 🎥	3	uid048
Just watched a tear-jerking movie 😢	25,16	uid049
Feeling optimistic about new opportunities 🌞	20	uid050
